iter	Passed	Remaining
0	20	4048
1	42	4195
2	49	3224
3	61	3008
4	72	2845
5	93	3009
6	116	3198
7	130	3141
8	148	3148
9	160	3042
10	180	3102
11	218	3430
12	252	3627
13	274	3644
14	287	3550
15	299	3447
16	323	3485
17	344	3479
18	367	3503
19	383	3454
20	397	3386
21	407	3296
22	419	3226
23	436	3202
24	452	3168
25	462	3096
26	491	3152
27	502	3088
28	512	3024
29	522	2959
30	532	2903
31	544	2857
32	558	2824
33	574	2805
34	584	2754
35	595	2712
36	607	2674
37	618	2637
38	630	2602
39	642	2570
40	658	2554
41	682	2568
42	704	2573
43	716	2539
44	726	2501
45	757	2534
46	776	2528
47	797	2524
48	829	2555
49	860	2582
50	888	2596
51	906	2580
52	965	2678
53	986	2666
54	1041	2746
55	1059	2724
56	1094	2747
57	1118	2737
58	1138	2719
59	1183	2761
60	1199	2732
61	1226	2729
62	1243	2703
63	1265	2688
64	1283	2666
65	1300	2640
66	1319	2619
67	1351	2624
68	1373	2607
69	1388	2578
70	1411	2565
71	1425	2534
72	1440	2505
73	1472	2507
74	1496	2494
75	1536	2506
76	1556	2485
77	1571	2457
78	1627	2492
79	1653	2480
80	1679	2468
81	1707	2457
82	1721	2426
83	1734	2395
84	1788	2419
85	1833	2430
86	1850	2404
87	1876	2388
88	1908	2380
89	1935	2365
90	1948	2334
91	1968	2310
92	1985	2283
93	2005	2261
94	2025	2239
95	2075	2248
96	2115	2246
97	2128	2215
98	2149	2192
99	2175	2175
100	2199	2156
101	2215	2128
102	2249	2118
103	2263	2089
104	2299	2080
105	2326	2063
106	2345	2038
107	2374	2022
108	2391	1996
109	2428	1986
110	2444	1960
111	2483	1951
112	2518	1938
113	2533	1910
114	2583	1909
115	2622	1899
116	2654	1883
117	2674	1858
118	2717	1849
119	2735	1823
120	2775	1812
121	2790	1784
122	2819	1765
123	2857	1751
124	2873	1724
125	2901	1703
126	2917	1677
127	2935	1651
128	2951	1624
129	3100	1669
130	3116	1641
131	3127	1610
132	3137	1580
133	3146	1549
134	3156	1519
135	3166	1490
136	3175	1460
137	3197	1436
138	3216	1411
139	3230	1384
140	3248	1359
141	3262	1332
142	3278	1306
143	3294	1281
144	3304	1253
145	3318	1227
146	3327	1199
147	3338	1172
148	3347	1145
149	3358	1119
150	3368	1093
151	3378	1066
152	3387	1040
153	3396	1014
154	3406	988
155	3415	963
156	3427	938
157	3436	913
158	3445	888
159	3455	863
160	3464	839
161	3476	815
162	3506	795
163	3520	772
164	3531	749
165	3541	725
166	3552	701
167	3562	678
168	3575	655
169	3590	633
170	3606	611
171	3618	589
172	3628	566
173	3639	543
174	3648	521
175	3659	498
176	3670	476
177	3682	455
178	3695	433
179	3708	412
180	3726	391
181	3739	369
182	3759	349
183	3773	328
184	3788	307
185	3808	286
186	3836	266
187	3860	246
188	3876	225
189	3890	204
190	3910	184
191	3924	163
192	3941	142
193	3957	122
194	3973	101
195	3990	81
196	4005	60
197	4025	40
198	4039	20
199	4062	0
