SessionId	ItemId	CatId	Time
11296769	214856203	8	1411749886.335
11296769	214856250	8	1411750279.247
11296769	214856252	8	1411750337.446
11296769	214856267	8	1411750747.335
11296769	214861676	8	1411750831.723
11296769	214861689	8	1411750863.597
11296769	214861612	8	1411751260.196
11296769	214861650	8	1411752157.939
11296769	214856072	8	1411752404.721
11296769	214856096	8	1411752429.296
11296769	214856100	8	1411752495.231
11296769	214856030	8	1411752661.514
11296773	214697096	3	1411671192.375
11296773	214697096	3	1411671202.282
11296773	214697096	3	1411671265.11
11296777	214595855	0	1411659122.554
11296777	214595855	0	1411660617.323
11296778	214577302	1	1411808392.86
11296778	214774674	1	1411808411.549
11296778	214774674	1	1411808540.729
11296778	214577302	1	1411808575.397
11296778	214577302	1	1411808600.299
11296778	214774674	1	1411808623.628
11296778	214577302	1	1411808743.0
11296779	214774674	1	1411829675.238
11296779	214774674	1	1411829813.098
11296779	214774674	1	1411830006.822
11296779	214577302	1	1411830047.57
11296779	214581585	1	1411830315.833
11296779	214581585	2089286907	1411830696.107
11296781	214687895	2	1411845206.252
11296781	214829027	2	1411845263.643
11296783	214855813	8	1411672188.62
11296783	214855811	8	1411672232.837
11296783	214855850	8	1411672300.486
11296783	214855826	8	1411672362.532
11296783	214855687	8	1411672521.229
11296783	214537916	4	1411673253.349
11296784	214859870	7	1411719432.035
11296784	214706272	3	1411719545.168
11296784	214853711	0	1411719597.347
11296802	214701305	5	1411626942.273
11296802	214644701	0	1411627034.941
11296802	214701305	5	1411627055.721
11296802	214700878	5	1411627066.768
11296802	214701305	5	1411627189.667
11296802	214847490	2	1411627416.405
11296802	214700878	5	1411627542.613
11296802	214701305	5	1411627569.568
11296807	214612682	5	1411664393.063
11296807	214612682	5	1411664583.656
11296807	214612682	5	1411665105.806
11296807	214542350	0	1411665217.784
11296809	214800264	0	1411745071.41
11296809	214531560	0	1411745151.309
11296809	214663303	2	1411745195.408
11296824	214850291	1	1411738130.459
11296824	214853428	1	1411738147.622
11296834	214853077	3	1411665763.781
11296834	214853077	3	1411665847.799
11296836	214672877	9	1411733191.035
11296836	214609445	9	1411733234.969
11296841	214656382	1	1411746530.214
11296841	214656382	1	1411746812.109
11296843	214510455	5	1411669103.015
11296843	214510453	5	1411669384.859
11296843	214510451	5	1411669645.786
11296849	214708209	5	1411440898.255
11296849	214708209	5	1411440901.089
11296851	214851240	1	1411569599.187
11296851	214678389	1	1411569615.66
11296851	214697902	1	1411569661.386
11296851	214697902	1	1411569663.782
11296853	214572900	1	1411757272.224
11296853	214853152	1	1411757314.279
11296854	214687995	6	1411622215.831
11296854	214712102	6	1411622293.178
11296858	214567329	3	1411642998.502
11296858	214854262	3	1411643022.962
11296859	214757908	11	1411559215.873
11296859	214744235	11	1411559268.581
11296861	214674677	6	1411549515.347
11296861	214674684	6	1411549560.054
11296861	214508585	6	1411549932.435
11296862	214746459	5	1411523920.077
11296862	214746459	5	1411525331.941
11296868	214643739	8	1411575830.294
11296868	214643739	8	1411575886.432
11296868	214643739	8	1411577153.67
11296871	214690119	2	1411830001.283
11296871	214572887	2	1411830170.396
11296878	214580372	4	1411551251.406
11296878	214587819	4	1411551315.776
11296878	214580372	4	1411551670.486
11296878	214516012	4	1411551737.527
11296878	214580372	4	1411551773.133
11296878	214580372	4	1411551838.824
11296878	214580357	4	1411551878.579
11296878	214571019	4	1411551913.74
11296891	214545446	1	1411739136.862
11296891	214677493	1	1411739197.412
11296903	214580276	4	1411550950.381
11296903	214580276	4	1411551016.032
11296903	214580276	4	1411551191.029
11296903	214580276	4	1411552264.392
11296908	214856582	1	1411785310.974
11296908	214856585	1	1411785344.735
11296908	214711965	1	1411785389.207
11296908	214531550	0	1411785413.133
11296908	214700885	1	1411785636.317
11296908	214531550	0	1411785704.822
11296916	214854165	3	1411836460.752
11296916	214854262	3	1411836543.686
11296921	214835713	1	1411794048.1
11296921	214835120	1	1411794211.348
11296921	214676578	1	1411794280.128
11296921	214835713	1	1411794304.695
11296921	214717627	1	1411794328.078
11296921	214861772	1	1411794344.231
11296921	214845538	1	1411794372.299
11296921	214717627	1	1411794419.169
11296921	214835713	1	1411794641.667
11296921	214676578	1	1411794684.19
11296921	214696425	1	1411794706.289
11296921	214510700	1	1411794776.279
11296921	214510689	1	1411794820.144
11296921	214601216	1	1411794828.368
11296923	214856829	1	1411829001.454
11296923	214856827	1	1411829044.073
11296942	214558824	1	1411633596.016
11296942	214573149	1	1411633635.292
11296942	214558389	1	1411633669.167
11296942	214558592	1	1411633707.996
11296951	214638478	4	1411595598.538
11296951	214638472	4	1411595769.542
11296951	214638478	4	1411595869.726
11296951	214638482	4	1411595961.869
11296951	214638482	4	1411596057.39
11296951	214638478	4	1411596329.703
11296951	214638482	4	1411596550.62
11296951	214638478	4	1411596728.081
11296951	214638487	4	1411596847.232
11296951	214638472	4	1411596951.392
11296951	214638482	4	1411597051.987
11296951	214638478	4	1411597077.829
11296951	214837425	4	1411597345.888
11296951	214638485	4	1411597484.191
11296951	214837425	4	1411597587.035
11296951	214638482	4	1411597658.532
11296951	214638478	4	1411597680.468
11296952	214714712	1	1411842466.553
11296952	214746365	1	1411842548.045
11296952	214839384	1	1411842597.842
11296956	214853225	0	1411535916.443
11296956	214568124	7	1411536095.543
11296956	214684725	3	1411537800.146
11296962	214844169	7	1411548854.721
11296962	214844169	7	1411549083.108
11296964	214851281	0	1411537595.681
11296964	214532567	2	1411537676.017
11296964	214532567	2	1411537678.555
11296967	214690730	7	1411748012.086
11296967	214858691	7	1411748118.733
11296967	214858843	7	1411748130.716
11296967	214858687	7	1411748222.151
11296967	214853707	0	1411748328.162
11296967	214861464	0	1411749146.331
11296967	214690730	7	1411749247.585
11296979	214555421	3	1411756499.323
11296979	214555421	3	1411756575.185
11296989	214509842	2	1411540180.118
11296989	214509842	2	1411540231.878
11296989	214534693	2	1411540295.232
11296989	214509842	2	1411540562.815
11296989	214509842	2	1411540591.264
11296989	214509842	2	1411540648.85
11296989	214509399	0	1411540905.639
11296989	214509842	2	1411540970.976
11296993	214708372	6	1411734638.207
11296993	214708372	6	1411734654.215
11297016	214855980	1	1411760614.676
11297016	214855987	1	1411760620.575
11297016	214855980	1	1411760689.293
11297021	214677821	3	1411816227.142
11297021	214851750	3	1411816251.631
11297026	214531597	0	1411659308.365
11297026	214856518	1	1411659346.368
11297026	214678867	1	1411659382.201
11297026	214532349	0	1411659418.004
11297026	214532351	0	1411659472.084
11297026	214819772	1	1411659488.272
11297027	214672942	2	1411668555.408
11297027	214570963	2	1411668567.974
11297027	214829760	2	1411668588.804
11297027	214541357	2	1411668608.48
11297027	214541355	2	1411668611.409
11297027	214774676	2	1411668775.376
11297027	214550531	2	1411668813.567
11297027	214695718	2	1411668914.87
11297027	214851135	2	1411668947.008
11297028	214851032	1	1411565113.872
11297028	214835713	1	1411567027.529
11297028	214851032	1	1411567058.545
11297046	214537826	4	1411548863.465
11297046	214537826	4	1411548865.118
11297047	214568117	0	1411626855.123
11297047	214568120	0	1411626888.157
11297047	214858631	7	1411627622.464
11297047	214858843	7	1411627901.026
11297047	214859117	7	1411628199.498
11297052	214639509	1	1411665265.324
11297052	214530737	1	1411665341.579
11297052	214530733	1	1411665362.747
11297052	214648256	1	1411665527.369
11297052	214639509	1	1411665675.464
11297052	214848581	1	1411665717.109
11297052	214848581	1	1411665760.343
11297062	214836950	4	1411696903.708
11297062	214644307	0	1411697567.267
11297062	214582935	0	1411697639.639
11297071	214678376	7	1411710249.976
11297071	214853128	7	1411710345.564
11297071	214845962	7	1411710380.337
11297077	214581525	2	1411710386.883
11297077	214581525	2	1411710400.534
11297081	214587482	2	1411654636.744
11297081	214536365	2	1411654843.837
11297091	214583610	2	1411720268.084
11297091	214583610	2	1411720271.084
11297093	214658201	2	1411657044.852
11297093	214658201	2	1411657073.736
11297093	214684449	2	1411657215.212
11297096	214680515	1	1411789327.285
11297096	214710326	1	1411789344.09
11297096	214680517	1	1411789420.29
11297096	214680521	1	1411789445.078
11297096	214680506	1	1411789470.467
11297096	214710360	1	1411789518.013
